** Assembled nodal loads
*CLOAD, REAL
2 -9.574500000000002e+00
5 -1.914900000000000e+01
8 -9.574500000000001e+00
11 -1.914900000000000e+01
14 -3.829800000000000e+01
17 -1.914900000000000e+01
20 -1.914900000000001e+01
23 -3.829800000000002e+01
26 -1.914900000000001e+01
29 -1.914900000000001e+01
32 -3.829800000000002e+01
35 -1.914900000000001e+01
38 -1.914900000000000e+01
41 -3.829800000000001e+01
44 -1.914900000000001e+01
47 -1.914900000000000e+01
50 -3.829800000000000e+01
53 -1.914900000000000e+01
56 -1.914900000000001e+01
59 -3.829800000000002e+01
62 -1.914900000000001e+01
65 -1.914900000000001e+01
68 -3.829800000000001e+01
71 -1.914900000000000e+01
74 -1.914900000000000e+01
77 -3.829800000000002e+01
80 -1.914900000000000e+01
83 -1.914900000000001e+01
86 -3.829800000000002e+01
89 -1.914900000000001e+01
92 -9.574500000000006e+00
95 -1.914900000000001e+01
98 -9.574500000000004e+00
101 -1.914900000000001e+01
104 -3.829800000000001e+01
107 -1.914900000000000e+01
110 -3.829800000000000e+01
113 -7.659600000000002e+01
116 -3.829800000000002e+01
119 -3.829800000000002e+01
122 -7.659600000000003e+01
125 -3.829800000000002e+01
128 -3.829800000000003e+01
131 -7.659600000000006e+01
134 -3.829800000000004e+01
137 -3.829800000000002e+01
140 -7.659600000000003e+01
143 -3.829800000000002e+01
146 -3.829800000000000e+01
149 -7.659600000000002e+01
152 -3.829800000000001e+01
155 -3.829800000000002e+01
158 -7.659600000000003e+01
161 -3.829800000000002e+01
164 -3.829800000000002e+01
167 -7.659600000000003e+01
170 -3.829800000000002e+01
173 -3.829800000000001e+01
176 -7.659600000000002e+01
179 -3.829800000000001e+01
182 -3.829800000000002e+01
185 -7.659600000000005e+01
188 -3.829800000000002e+01
191 -1.914900000000001e+01
194 -3.829800000000002e+01
197 -1.914900000000001e+01
200 -9.574500000000004e+00
203 -1.914900000000001e+01
206 -9.574500000000004e+00
209 -1.914900000000000e+01
212 -3.829800000000001e+01
215 -1.914900000000001e+01
218 -1.914900000000001e+01
221 -3.829800000000002e+01
224 -1.914900000000002e+01
227 -1.914900000000002e+01
230 -3.829800000000004e+01
233 -1.914900000000002e+01
236 -1.914900000000001e+01
239 -3.829800000000002e+01
242 -1.914900000000001e+01
245 -1.914900000000000e+01
248 -3.829800000000001e+01
251 -1.914900000000000e+01
254 -1.914900000000002e+01
257 -3.829800000000002e+01
260 -1.914900000000001e+01
263 -1.914900000000001e+01
266 -3.829800000000002e+01
269 -1.914900000000001e+01
272 -1.914900000000000e+01
275 -3.829800000000001e+01
278 -1.914900000000000e+01
281 -1.914900000000001e+01
284 -3.829800000000002e+01
287 -1.914900000000001e+01
290 -9.574500000000006e+00
293 -1.914900000000001e+01
296 -9.574500000000006e+00
